Line,Year,Date,W_L,Team,Gm,RYTD,RAYTD,RankR,GBR,D_1_N_0,Home,RealStreakN,RealStreakW,Teamb,Gmb,RYTDb,RAYTDb,RankRb,GBRb,RealStreakNb,RealStreakWb
-185,2022,"Tuesday, Apr 11",L,Braves,5,15,19,3,-1,0,1,1,-1,Nationals,5,8,19,5,-2,1,1
-170,2022,"Wednesday, Apr 12",W,Braves,6,17,30,3,-1.5,0,1,2,-1,Nationals,6,19,21,3,-1.5,2,1
-210,2022,"Thursday, Apr 13",L,Braves,7,33,34,3,-1,1,1,1,1,Nationals,7,23,37,4,-2,1,-1
-135,2022,"Saturday, Apr 22",W,Braves,15,54,68,2,-3.5,0,1,1,-1,Marlins,15,45,44,2,-4,1,1
-152,2022,"Sunday, Apr 23",L,Braves,16,57,68,2,-4,0,1,1,1,Marlins,16,45,47,4,-5,1,-1
-127,2022,"Monday, Apr 24",L,Braves,17,64,77,2,-4,1,1,1,-1,Marlins,17,54,54,2,-4,1,1
-110,2022,"Tuesday, May 2",W,Braves,24,89,103,4,-6,0,0,2,-1,Mets,24,108,70,1,3,1,-1
-110,2022,"Tuesday, May 3 (1)",L,Braves,25,94,105,4,-5,1,0,1,1,Mets,25,110,75,1,3,1,-1
-110,2022,"Tuesday, May 3 (2)",L,Braves,26,98,110,4,-7,1,0,1,-1,Mets,26,115,79,1,4.5,1,1
122,2022,"Thursday, May 4",W,Braves,27,98,113,4,-7,1,0,2,-1,Mets,27,118,79,1,4.5,2,1
-105,2022,"Saturday, May 6",L,Braves,28,107,115,3,-6,0,1,1,1,Brewers,28,128,87,1,-2.5,3,1
-110,2022,"Sunday, May 7",W,Braves,29,110,121,3,-7,0,1,1,-1,Brewers,29,134,90,1,-2.5,4,1
-135,2022,"Monday, May 8",W,Braves,30,113,123,3,-6.5,1,1,1,-1,Brewers,30,136,93,1,-2.5,1,-1
145,2022,"Tuesday, May 16",L,Braves,36,146,160,3,-6.5,0,0,1,-1,Brewers,36,171,143,1,-3,1,1
-105,2022,"Wednesday, May 17",W,Braves,37,146,161,4,-7,0,0,2,-1,Brewers,37,172,143,1,-2.5,2,1
128,2022,"Thursday, May 18",L,Braves,38,149,161,4,-6.5,1,0,1,1,Brewers,38,172,146,1,-3.5,1,-1
-118,2022,"Saturday, May 20",W,Braves,39,155,168,4,-7.5,0,0,1,-1,Marlins,39,158,139,3,-7,1,-1
-150,2022,"Sunday, May 21",W,Braves,40,160,171,2,-7.5,0,0,1,-1,Marlins,40,161,144,4,-8,2,-1
100,2022,"Monday, May 22",L,Braves,41,164,174,2,-7,1,0,2,1,Marlins,41,164,148,4,-8.5,3,-1
112,2022,"Tuesday, May 23",L,Braves,42,167,178,2,-8,0,1,1,-1,Phillies,42,184,173,2,-8,1,1
-180,2022,"Wednesday, May 24",W,Braves,43,170,185,3,-9,0,1,2,-1,Phillies,43,191,176,2,-8,2,1
-142,2022,"Thursday, May 25",W,Braves,44,176,190,2,-8,0,1,1,1,Phillies,44,196,182,2,-8,1,-1
100,2022,"Friday, May 26",L,Braves,45,184,194,2,-7,0,1,2,1,Phillies,45,200,190,3,-8,2,-1
-140,2022,"Saturday, May 27",W,Braves,46,185,198,2,-7.5,0,1,1,-1,Marlins,46,172,160,4,-9,2,-1
-122,2022,"Sunday, May 28",L,Braves,47,191,202,2,-7.5,1,1,1,1,Marlins,47,176,166,4,-10,3,-1
-220,2022,"Monday, May 29",W,Braves,48,192,206,2,-8.5,1,1,1,-1,Marlins,48,180,167,4,-10,1,-1
-159,2022,"Tuesday, Jun 13",W,Braves,62,281,253,2,-5.5,0,0,11,1,Nationals,62,257,343,5,-17,1,-1
-280,2022,"Wednesday, Jun 14",W,Braves,63,290,258,2,-5,0,0,12,1,Nationals,63,262,352,5,-17.5,2,-1
-230,2022,"Thursday, Jun 15",W,Braves,64,300,262,2,-5,0,0,13,1,Nationals,64,266,362,5,-18.5,3,-1
110,2022,"Wednesday, Jun 28",W,Braves,75,349,305,2,-5,0,0,1,-1,Phillies,75,352,317,3,-8,2,1
-141,2022,"Thursday, Jun 29",W,Braves,76,354,308,2,-4,0,0,1,1,Phillies,76,355,322,3,-8,1,-1
130,2022,"Friday, Jun 30",L,Braves,77,358,309,2,-3,0,0,2,1,Phillies,77,356,326,3,-8,2,-1
-305,2022,"Saturday, Jul 8",W,Braves,85,396,336,2,-3.5,0,1,1,-1,Nationals,85,333,463,5,-23,1,-1
-240,2022,"Sunday, Jul 9",W,Braves,86,408,338,2,-2.5,1,1,1,1,Nationals,86,335,475,5,-23,2,-1
-220,2022,"Monday, Jul 10",W,Braves,87,412,341,2,-2.5,1,1,2,1,Nationals,87,338,479,5,-24,3,-1
-132,2022,"Tuesday, Jul 11",L,Braves,88,416,344,2,-1.5,0,1,3,1,Mets,88,409,338,1,1.5,1,-1
-200,2022,"Wednesday, Jul 12",W,Braves,89,417,348,2,-2.5,0,1,1,-1,Mets,89,413,339,1,2.5,1,1
-155,2022,"Thursday, Jul 13",L,Braves,90,421,349,2,-1.5,1,1,1,-1,Mets,90,414,343,1,1.5,1,-1
-230,2022,"Friday, Jul 14",W,Braves,91,424,356,2,-2.5,0,0,1,-1,Nationals,91,346,491,5,-25.5,6,-1
